"","team_records_season","team_records_team_name","team_records_league_record_pct","exp1point7"
"1","2018","Boston Red Sox",0.667,0.626009149580513
"2","2018","New York Yankees",0.617,0.600864313666494
"3","2018","Tampa Bay Rays",0.556,0.543613164877084
"4","2018","Toronto Blue Jays",0.451,0.432425796184937
"5","2018","Baltimore Orioles",0.29,0.3513992593558
"6","2018","Cleveland Indians",0.562,0.59773869133206
"7","2018","Minnesota Twins",0.481,0.47922131209542
"8","2018","Detroit Tigers",0.395,0.40189032239231
"9","2018","Chicago White Sox",0.383,0.392593449648172
"10","2018","Kansas City Royals",0.358,0.388556940648384
"11","2018","Houston Astros",0.636,0.663912769266157
"12","2018","Oakland Athletics",0.599,0.57902000122007
"13","2018","Seattle Mariners",0.549,0.479186542688799
"14","2018","Los Angeles Angels",0.494,0.499410949589171
"15","2018","Texas Rangers",0.414,0.440656610939162
"16","2019","New York Yankees",0.636,0.602143934424205
"17","2019","Tampa Bay Rays",0.593,0.567137415016932
"18","2019","Boston Red Sox",0.519,0.535847532789858
"19","2019","Toronto Blue Jays",0.414,0.444359560649562
"20","2019","Baltimore Orioles",0.333,0.376430254550955
"21","2019","Minnesota Twins",0.623,0.592188343149153
"22","2019","Cleveland Indians",0.574,0.56650160423308
"23","2019","Chicago White Sox",0.447,0.431836989459286
"24","2019","Kansas City Royals",0.364,0.403802615178202
"25","2019","Detroit Tigers",0.292,0.316658430468132
"26","2019","Houston Astros",0.66,0.649522129427693
"27","2019","Oakland Athletics",0.599,0.591293329410574
"28","2019","Texas Rangers",0.481,0.465793270408783
"29","2019","Los Angeles Angels",0.444,0.448713196109043
"30","2019","Seattle Mariners",0.42,0.430788349810072
"31","2021","Tampa Bay Rays",0.617,0.614762993248064
"32","2021","Boston Red Sox",0.568,0.543022845363343
"33","2021","New York Yankees",0.568,0.525854476702918
"34","2021","Toronto Blue Jays",0.562,0.602134163215763
"35","2021","Baltimore Orioles",0.321,0.346953302380978
"36","2021","Chicago White Sox",0.574,0.59423026645465
"37","2021","Cleveland Indians",0.494,0.494113751254109
"38","2021","Detroit Tigers",0.475,0.465521022627943
"39","2021","Kansas City Royals",0.457,0.441357436737242
"40","2021","Minnesota Twins",0.451,0.44306021555463
