"","PlayerName","playerid","Age","G","wOBA","wRC_plus","WPA","Contact_pct"
"1","Julio Rodríguez",23697,22,155,0.3475,127.9737,2.3592,0.7315
"2","Luis Robert Jr.",20043,25,145,0.3581,128.3431,2.6889,0.6852
"3","Cody Bellinger",15998,27,130,0.3702,134.5971,2.4647,0.8124
"4","Brandon Nimmo",12927,30,152,0.3588,130.0166,1.4912,0.8081
"5","TJ Friedl",19522,27,138,0.3527,115.998,3.6746,0.8343
"6","James Outman",24770,26,151,0.3443,117.3438,1.1953,0.6657
"7","Michael Harris II",25931,22,138,0.3447,114.5637,0.4452,0.7796
"8","Brandon Marsh",20202,25,133,0.3583,124.7403,1.6157,0.7542
"9","Chas McCormick",19599,28,115,0.362,133.8222,3.3446,0.7303
"10","Lars Nootbaar",21454,25,117,0.3442,117.2232,0.7411,0.8363
"11","Mike Trout",10155,31,82,0.3678,133.9767,1.6398,0.7551
"12","Kevin Kiermaier",11038,33,129,0.32,104.8679,-0.2866,0.7221
"13","Jack Suwinski",22244,24,144,0.3412,112.4247,-0.6541,0.7196
"14","Jose Siri",17452,27,101,0.3186,106.7363,0.3455,0.6161
"15","Willi Castro",17338,26,124,0.3273,108.9179,1.7272,0.7469
"16","Jarren Duran",24617,26,102,0.3536,120.0789,1.9193,0.7857
"17","Leody Taveras",18900,24,143,0.3159,99.6756,-1.3304,0.7754
"18","Tommy Edman",19470,28,137,0.3056,91.3328,0.1953,0.8556
"19","Riley Greene",25976,22,99,0.3443,119.7414,0.5863,0.7405
"20","Daulton Varsho",19918,26,158,0.2926,85.8316,-2.1982,0.7863
"21","Michael A. Taylor",11489,32,129,0.3075,95.2025,0.2369,0.6821
"22","Jazz Chisholm Jr.",20454,25,97,0.3252,101.611,-0.9119,0.6549
"23","Cedric Mullins",17929,28,116,0.3106,98.7463,0.6039,0.7801
"24","Mickey Moniak",19956,25,85,0.3391,114.0467,1.6007,0.6433
"25","Trent Grisham",18564,26,153,0.2988,89.5583,-1.5376,0.751
"26","Mike Yastrzemski",14854,32,106,0.3329,110.8953,0.7205,0.7864
"27","Mike Tauchman",15274,32,108,0.33,107.6356,1.0112,0.7868
"28","Johan Rojas",24336,22,59,0.3352,109.2964,0.0547,0.7542
"29","Adam Duvall",10950,34,92,0.3474,115.7762,0.6762,0.7163
"30","Jake Meyers",20308,27,112,0.2967,88.5515,-1.0128,0.7425
