"","PlayerName","playerid","Age","G","wOBA","wRC_plus","WPA","Contact_pct"
"1","Ronald Acuña Jr.",18401,25,159,0.4276,170.1233,6.8656,0.8311
"2","Mookie Betts",13611,30,152,0.4165,165.7349,5.2051,0.849
"3","Corbin Carroll",25878,22,155,0.3703,132.3218,5.188,0.8047
"4","Kyle Tucker",18345,26,157,0.372,140.7137,4.6643,0.8386
"5","Aaron Judge",15640,31,106,0.4204,172.8565,3.086,0.665
"6","Adolis García",19287,30,148,0.3542,126.1896,1.1357,0.7028
"7","Fernando Tatis Jr.",19709,24,141,0.3317,111.6112,1.4503,0.7155
"8","Nolan Jones",20529,25,106,0.395,137.2697,2.5271,0.7071
"9","Josh Lowe",19953,25,135,0.354,131.2566,2.8448,0.7233
"10","Lane Thomas",16939,27,157,0.334,109.7127,1.5475,0.793
"11","Seiya Suzuki",30116,28,138,0.3585,126.7119,0.4427,0.808
"12","Lars Nootbaar",21454,25,117,0.3442,117.2232,0.7411,0.8363
"13","Max Kepler",12144,30,130,0.3484,123.5207,0.7408,0.8118
"14","Anthony Santander",14551,28,153,0.3404,119.3867,2.6645,0.7867
"15","Luke Raley",19354,28,118,0.3525,130.2254,2.2457,0.6361
"16","Jason Heyward",4940,33,124,0.3477,119.6391,-0.1474,0.8125
"17","Kerry Carpenter",25961,25,118,0.3472,121.7352,1.5327,0.7622
"18","Will Benson",21853,25,108,0.3694,127.1911,0.13,0.705
"19","Teoscar Hernández",13066,30,160,0.3165,106.5176,-1.3098,0.6688
"20","George Springer",12856,33,154,0.3197,104.6458,-0.6827,0.7998
"21","Matt Vierling",21558,26,134,0.3146,99.1559,-1.0902,0.8363
"22","Mike Yastrzemski",14854,32,106,0.3329,110.8953,0.7205,0.7864
"23","Matt Wallner",26466,25,76,0.3769,143.294,0.53,0.6734
"24","Connor Joe",16572,30,133,0.3324,106.5249,-1.5276,0.7826
"25","Adam Duvall",10950,34,92,0.3474,115.7762,0.6762,0.7163
"26","Jesús Sánchez",19913,25,125,0.334,107.4785,0.104,0.73
"27","Alex Verdugo",17027,27,142,0.3219,98.0736,-1.4585,0.8631
"28","Nick Castellanos",11737,31,157,0.3346,108.8903,0.746,0.6659
"29","Dairon Blanco",19779,30,69,0.333,106.8893,0.2882,0.7421
"30","Sal Frelick",29622,23,57,0.3094,91.8702,-0.2769,0.87
