"","PlayerName","playerid","Age","G","wOBA","wRC_plus","WPA","Contact_pct"
"1","Austin Riley",18360,26,159,0.3627,126.6351,1.985,0.7431
"2","Gunnar Henderson",26289,22,150,0.3458,123.0762,1.4056,0.7564
"3","José Ramírez",13510,30,156,0.3458,122.0257,3.1242,0.8553
"4","Alex Bregman",17678,29,161,0.3512,126.2816,1.6516,0.8741
"5","Isaac Paredes",20036,24,143,0.3623,136.9937,1.3989,0.8278
"6","Eugenio Suárez",12552,31,162,0.3133,104.2914,-0.3936,0.7038
"7","Manny Machado",11493,30,138,0.3339,113.0592,-0.3066,0.776
"8","Rafael Devers",17350,26,153,0.3592,123.9341,1.9608,0.7598
"9","Ke'Bryan Hayes",18577,26,124,0.3242,101.0067,-0.145,0.8098
"10","Jeimer Candelario",13621,29,140,0.3459,117.8618,2.1002,0.7842
"11","Matt Chapman",16505,30,140,0.3284,110.6523,-1.2663,0.7298
"12","Josh Jung",26299,25,122,0.3342,112.3381,-0.4682,0.7356
"13","Nolan Arenado",9777,32,144,0.3273,105.8781,0.5453,0.8124
"14","Max Muncy",13301,32,135,0.3443,117.3101,1.3534,0.719
"15","Royce Lewis",20437,24,58,0.3927,154.2143,1.6877,0.7646
"16","Jake Burger",22275,27,141,0.349,120.0666,0.4077,0.6826
"17","J.D. Davis",16219,30,144,0.3212,103.0541,-0.3917,0.6871
"18","Jon Berti",12037,33,133,0.3251,101.5421,-0.8396,0.8252
"19","Maikel Garcia",22715,23,123,0.2987,83.1283,-1.59,0.8204
"20","Elly De La Cruz",26668,21,98,0.3046,83.7406,-0.3437,0.7276
"21","Ryan McMahon",15112,28,152,0.3249,90.3038,-1.4411,0.6996
"22","Jared Triolo",25807,25,54,0.35,118.3176,1.4427,0.694
"23","Kyle Farmer",14813,32,120,0.3157,100.8265,-0.6863,0.8033
"24","Alec Bohm",21618,26,145,0.3292,105.2699,-0.0652,0.8442
"25","DJ LeMahieu",9874,34,136,0.3146,99.5271,-0.3399,0.8256
"26","Nick Madrigal",20521,26,92,0.2936,83.263,-0.7202,0.9223
"27","Yoán Moncada",17232,28,92,0.3148,98.3412,-0.1886,0.722
"28","Nicky Lopez",19339,28,94,0.2884,75.9866,0.2979,0.7975
"29","Edmundo Sosa",17022,27,104,0.3094,91.974,-1.8177,0.744
"30","Zach McKinstry",19392,28,148,0.289,81.3945,-1.8547,0.8196
